,dt,dt_period,open,close,high,low,vol,turnover,m1,m2,macd_buy_signal,macd_sell_signal,jw,jw_buy_signal,jw_sell_signal,R6,duanxian,duanxian_buy_signal,duanxian_sell_signal,xcci,dcci,long_start,long_end,short_start,short_end,long_buy,long_sell,short_buy,short_sell,profit_rate
282,2022-08-23 09:31:00-04:00,20220823093100,31.195,31.224,32.107,30.984,109754896,3590158848.0,-2.37,0.791,False,True,108.63117350835387,False,False,70.79897531254309,-5.168924867843259,False,True,-45.99208109115917,46.39497324396763,False,False,False,False,0,0,0,0,0.0
283,2022-08-24 09:31:00-04:00,20220824093100,31.064,31.474,32.064,30.884,93502800,3063177216.0,-2.321,0.599,False,True,103.94506714181357,False,False,66.08708885661548,-4.711886455927612,False,True,-45.13404731792129,47.04896340330521,False,False,False,False,0,0,0,0,0.0
284,2022-08-25 09:31:00-04:00,20220825093100,32.044,33.194,33.224,31.714,111026256,3811562240.0,-2.25,0.531,False,True,101.64485261392767,False,False,63.596319145764554,-2.490769710850927,False,True,-36.67830862547232,65.90006672996601,False,False,False,False,0,0,0,0,0.0
285,2022-08-26 09:31:00-04:00,20220826093100,33.109,29.004,33.664,28.524,183138320,5497555968.0,-2.237,0.253,False,True,94.68340528692613,False,False,58.59367201680031,-5.002647128964242,False,True,-50.777911619891505,30.00114136572043,False,False,False,False,0,0,0,0,0.0
286,2022-08-29 09:31:00-04:00,20220829093100,28.114,28.074,28.854,27.729,124220504,3677127936.0,-2.236,-0.015,False,False,87.32902847384341,False,False,52.52323379428313,-6.070438222517183,False,True,-64.19381011253738,-4.095398368987489,False,False,False,False,0,0,0,0,0.0
287,2022-08-30 09:31:00-04:00,20220830093100,28.554,27.094,29.204,26.334,163507392,4613890560.0,-2.247,-0.274,False,False,79.58268858632137,False,False,45.81939413273494,-6.703839661548187,False,True,-67.97204141754354,-15.148589964530313,False,False,False,False,0,0,0,0,0.0
288,2022-08-31 09:31:00-04:00,20220831093100,27.919,26.574,28.149,25.714,170515264,4676844032.0,-2.262,-0.5,False,False,72.0320744949441,False,False,39.013836375269534,-6.805557757465408,False,True,-72.13982545967922,-28.650152347327698,False,False,False,False,0,0,0,0,0.0
289,2022-09-01 09:31:00-04:00,20220901093100,25.844,26.604,26.814,24.794,198660224,5538753536.0,-2.274,-0.668,False,False,65.30404949346011,False,False,31.891945412805057,-7.121890962464477,False,True,-76.43579750787445,-42.61472499625859,False,False,False,False,0,0,0,0,0.0
290,2022-09-02 09:31:00-04:00,20220902093100,27.404,25.444,27.789,24.95,227231456,6289671168.0,-2.3,-0.85,False,False,57.723751718494285,False,False,23.57878753838638,-8.313157874418678,False,True,-75.82144889978636,-44.00606672587389,False,False,False,False,0,0,0,0,0.0
291,2022-09-06 09:31:00-04:00,20220906093100,25.524,24.834,26.214,24.235,180541696,4663019520.0,-2.33,-1.013,False,False,50.25083613372979,False,False,15.450514688304338,-8.128272850082041,False,True,-81.72685969191029,-62.25103307148431,False,False,False,False,0,0,0,0,0.0
